Sample_ID	Erysipelotrichaceae	Lachnospiraceae	Bifidobacteriaceae	Bacteroidaceae	Christensenellaceae	Veillonellaceae	Ruminococcaceae	Prevotellaceae	Rikenellaceae	Peptostreptococcaceae	Clostridiaceae 1	Coriobacteriaceae	Streptococcaceae	Lactobacillaceae	Acidaminococcaceae	Eggerthellaceae	Tannerellaceae	Barnesiellaceae	Burkholderiaceae	Akkermansiaceae	Family XIII	Muribaculaceae	Marinifilaceae	Coriobacteriales Incertae Sedis	Desulfovibrionaceae	Anaeroplasmataceae	Atopobiaceae	Clostridiales vadinBB60 group	Enterobacteriaceae	Brachyspiraceae	Vibrionaceae	Enterococcaceae	Pasteurellaceae	Actinomycetaceae	Flavobacteriaceae	Defluviitaleaceae	Peptococcaceae	Puniceicoccaceae	Leuconostocaceae	Methanobacteriaceae	vadinBE97	Carnobacteriaceae
A09_07	3.990065268873101	39.495177034598285	1.3434991047189973	2.4559579506729055	0.8271241263790216	1.0096459308034424	17.780858314561318	24.930399122047017	0.15710737596026106	0.44706290071044885	0.9726794894010281	0.19869462253797723	0.32576676485877665	0	0.14786576560965747	0.3685092127303182	0.33616357650320566	0.04967365563449431	0.5648934326806446	0.009241610350603592	0.051984058222145205	0.3384739790908566	0.13977935655287932	0.027724831051810776	0.07855368798013053	0.18945301218737365	0	0	0.015017616819730836	0	0	0	0.01270721423207994	0.009241610350603592	0	0	0	0	0	0	0	0
A03_00	1.9951615972165593	50.68498736035226	11.541493381173721	7.381282448557994	2.35396450025823	0.9364212128625404	19.655331756775126	0.08698252194949578	0.6727554432031314	0.5164587240751312	0.08426431813857403	0.6754736470140531	0.8752616271168013	0	0	0.2228927124955829	0.729837723232488	0.0761097067058088	0.2283291201174264	0	0.09921443909864364	0.7067329908396532	0.1522194134116176	0.10329174481502623	0.0665959933675827	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A12_07	12.614200816036899	39.10989888238424	7.1536278162143	4.154470463012239	0	7.015034592868548	10.568564839453611	3.420480752173142	1.0732659215894982	7.388681923008693	0.7350984566258649	1.2162941280823132	2.129900656377506	0	0.018848678375022177	0.07539471350008871	0.5299804860741529	0.5754390633315594	1.4934805747738158	0	0	0	0.07539471350008871	0	0.3758648217136775	0	0	0	0.03326237360298031	0	0	0.034371119389746324	0.025501153095618238	0.025501153095618238	0	0	0	0	0	0	0	0
A20_07	2.853527418491877	49.42122650723147	6.244639020288919	4.072221420139449	2.3685976101707875	0.48408054420844343	21.932245709093074	0.01783454636557423	3.2781594748150726	3.7783760371637976	1.0947014412011993	0.4586026208290517	0.016985282252927836	0.37027915311382686	0	0.6216613304571589	0.06879039312435774	0.518051108714299	0.020382338703513407	0.8314295662808178	0.10191169351756703	0.14182710681194746	0.06794112901171134	0.06029775199789383	0.010191169351756704	0	0	0.0416139415196732	0.019533074590867013	0	0	0	0.008492641126463918	0	0	0	0	0	0	0	0	0
A01_14	3.342659071246391	58.66113863889173	0.9292030426624419	0.8078560915045898	0.7696542735474882	1.375265446455658	21.994134897360695	1.2741429871574477	0.7415647015202077	0.4101077515982966	1.65279041808519	1.8707654970168872	0.9786406894304558	0.08988663048729789	1.8921135717576205	0.8067325086234987	0.06067347557892608	0.11235828810912235	0.014606577454185908	0.40224267143065806	0.6606667340816396	0.3337041156840934	0.11123470522803114	0.014606577454185908	0.2876372175593533	0	0.06853855574656464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A03_14	1.4152722534631739	54.66585516390071	2.951412700589769	13.251783020161842	1.3269784666026607	0.524619393773145	19.767521601975034	0	0.9292278151145248	0.2974557673844466	0.04628994650939514	0.1765875737210259	0.039432176656151424	0	0.007714991084899191	0.31031408585927855	0.9026539569332054	0.09686599917706762	0.41575229735290076	0.03857495542449595	0.24173638732684133	1.4092717048415855	0.4474694829241531	0.25030859964339597	0.10715265395693321	0	0	0	0	0	0	0	0	0	0	0	0.02314497325469757	0	0	0	0	0
A09_14	6.594215203486728	38.741155827248555	1.0958283805965925	5.533480500367918	0.33055980075847624	1.756947982113545	14.588781343748233	21.82939944529349	0.41206769683590877	1.1014886511575255	0.22414671421293939	0.5614988396445351	1.2429954151808458	0.7313069564725194	0.06452708439463406	0.6475349521707138	0.7075338201166016	0.11094130299428312	1.1705439520009056	0	0.12452595234052188	0	0.06565913850682062	0.0271692986924775	0.4109356427237222	0	0	0	0.07811173374087281	0	0	0	0.010188487009679063	0	0	0	0	0	0	0	0	0
A20_14	3.2127111914345954	44.9567348503519	4.787918617705852	3.6097647799775463	2.4500944713710675	0.52849201785372	25.47235685533557	0	3.833620854897451	4.440154440154441	1.3814726580684027	0.8584572414359649	0	0.12322352747884663	0	0.6695144993017333	0.052027711602179685	0.6113256113256114	0.03491333278567321	0.6585612968591692	0.36077110545195656	0.2553465319422766	0.060242613434102796	0.06982666557134642	0	0	0	0.024644705495769324	0	0	0	0	0	0	0	0	0.013006927900544921	0	0	0	0	0
A06_14	1.1569965004818177	62.58114824770501	6.066465486635899	6.7378404422579505	3.7822691078764508	1.0733123700360097	13.44144646751534	0	1.7066490845463307	0.25802606887457524	0	0.305573870264239	1.2241973931125425	0	0	0.1832175280215043	0.1109448699092154	0.06656692194552924	0.23013135872597254	0	0.13249987320586293	0	0.1451792869097733	0.08748795455698129	0.12489222498351676	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A12_14	8.384953714364666	43.678326348270616	1.925113987012389	5.866876986137337	0	7.9140376732832864	19.023165845346103	6.225533090775112	0.32929581356790866	1.845668493529222	1.2291023810620365	0.8445401372449683	0.390894855616451	0	0.033965826923962605	0.1542854511122369	0.18940266199972366	0.15083129922166444	0.4432828259568001	0	0	0	0.04087413070510754	0	0.010938147653479483	0	0	0	0.7489752682724634	0	0	0	0.044903974577442086	0	0	0	0	0	0	0	0	0
