Feature_Name	Colour	Sub_Color	Avg	StDev	F_Type	HMDB_SuperClass	HMDB_Class	HMDB_SubClass	HMDB_DirectParent	Notes	Link_HMDB	Link_PubmedChem
Uracil	#90DDD7	#90DDD7	85.531	10.284975105044854	Organoheterocyclic compounds	Organoheterocyclic compounds	Diazines	Pyrimidines and pyrimidine derivatives	Pyrimidones	NA	https://hmdb.ca/metabolites/HMDB0000300	https://pubchem.ncbi.nlm.nih.gov/compound/1174
Urocanate	#90DDD7	#96E4DE	85.4235	11.84687600759122	Organoheterocyclic compounds	Organoheterocyclic compounds	Azoles	Imidazoles	Imidazolyl carboxylic acids and derivatives	amino acid derivative	https://hmdb.ca/metabolites/HMDB0000301	https://pubchem.ncbi.nlm.nih.gov/compound/1178
1,3-Dimethylurate	#90DDD7	#A4F0EA	76.502875	10.951783531271186	Organoheterocyclic compounds	Organoheterocyclic compounds	Imidazopyrimidines	Purines and purine derivatives	Xanthines	NA	https://hmdb.ca/metabolites/HMDB0001857	https://pubchem.ncbi.nlm.nih.gov/compound/70346
Xanthine	#90DDD7	#B6F8F3	82.44775	10.10404530781006	Organoheterocyclic compounds	Organoheterocyclic compounds	Imidazopyrimidines	Purines and purine derivatives	Xanthines	NA	https://hmdb.ca/metabolites/HMDB0000292	https://pubchem.ncbi.nlm.nih.gov/compound/1188
Choline	#FF6144	#EF5B40	79.917375	9.164045005905043	Quat. ammonium salts	Organic nitrogen compounds	Organonitrogen compounds	Quaternary ammonium salts	Cholines	NA	https://hmdb.ca/metabolites/HMDB0000097	https://pubchem.ncbi.nlm.nih.gov/compound/305
Arabinose	#1474D2	#0F579E	82.9955	8.01665937875227	Saccharide	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Pentoses	NA	https://hmdb.ca/metabolites/HMDB0000646	https://pubchem.ncbi.nlm.nih.gov/compound/6902
Fucose	#1474D2	#1266B8	81.280375	6.550060671039909	Saccharide	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Hexoses	mono	https://hmdb.ca/metabolites/HMDB0000174	https://pubchem.ncbi.nlm.nih.gov/compound/17106
Galactose	#1474D2	#136DC5	87.551625	6.950468055225408	Saccharide	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Hexoses	NA	https://hmdb.ca/metabolites/HMDB0033704	https://pubchem.ncbi.nlm.nih.gov/compound/6036
Glucose	#1474D2	#2D8DEB	96.685625	4.0638700902907186	Saccharide	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Hexoses	NA	https://hmdb.ca/metabolites/HMDB0000122	https://pubchem.ncbi.nlm.nih.gov/compound/5793
Lactose	#1474D2	#4499F5	82.349875	6.0678364533566285	Saccharide	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	O-glycosyl compounds	NA	https://hmdb.ca/metabolites/HMDB0000186	https://pubchem.ncbi.nlm.nih.gov/compound/6134
Lactulose	#1474D2	#5BA6FD	80.32075	5.140893084752955	Saccharide	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	O-glycosyl compounds	NA	https://hmdb.ca/metabolites/HMDB0000740	https://pubchem.ncbi.nlm.nih.gov/compound/11333
Mannose	#1474D2	#71B2FF	82.410125	6.648529578320117	Saccharide	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Hexoses	NA	https://hmdb.ca/metabolites/HMDB0000169	https://pubchem.ncbi.nlm.nih.gov/compound/18950
Ribose	#1474D2	#88BEFF	96.73325	2.666059898004326	Saccharide	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Pentoses	NA	https://hmdb.ca/metabolites/HMDB0000283	https://pubchem.ncbi.nlm.nih.gov/compound/10975657
Xylose	#1474D2	#9FCBFF	85.725	10.259333385702375	Saccharide	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Pentoses	NA	https://hmdb.ca/metabolites/HMDB0000098	https://pubchem.ncbi.nlm.nih.gov/compound/135191
Isovalerate	#DE55ED	#9B3CA6	83.190125	8.699067677929047	SCFA	Lipids and lipid-like molecules	Fatty Acyls	Fatty acids and conjugates	Methyl-branched fatty acids	NA	https://hmdb.ca/metabolites/HMDB0000718	https://pubchem.ncbi.nlm.nih.gov/compound/10430
Acetate	#DE55ED	#B244BE	99.455375	0.26501943444379894	SCFA	Organic acids and derivatives	Carboxylic acids and derivatives	Carboxylic acids	Carboxylic acids	NA	https://hmdb.ca/metabolites/HMDB0000042	https://pubchem.ncbi.nlm.nih.gov/compound/175
Butyrate	#DE55ED	#C84DD5	93.063625	7.646827627780513	SCFA	Lipids and lipid-like molecules	Fatty Acyls	Fatty acids and conjugates	Straight chain fatty acids	both a  SCFA and Fatty acids	https://hmdb.ca/metabolites/HMDB0000039	https://pubchem.ncbi.nlm.nih.gov/compound/264
Isobutyrate	#DE55ED	#DE55ED	67.9425	11.894074846565251	SCFA	Organic acids and derivatives	Carboxylic acids and derivatives	Carboxylic acids	Carboxylic acids	NA	https://hmdb.ca/metabolites/HMDB0001873	https://pubchem.ncbi.nlm.nih.gov/compound/6590
Propionate	#DE55ED	#EB5CF7	94.733	3.9085179294795727	SCFA	Organic acids and derivatives	Carboxylic acids and derivatives	Carboxylic acids	Carboxylic acids	NA	https://hmdb.ca/metabolites/HMDB0000237	https://pubchem.ncbi.nlm.nih.gov/compound/1032
Valerate	#DE55ED	#F765FF	62.137368421052635	9.961187930285028	SCFA	Lipids and lipid-like molecules	Fatty Acyls	Fatty acids and conjugates	Straight chain fatty acids	both a  SCFA and Fatty acids	https://hmdb.ca/metabolites/HMDB0000892	https://pubchem.ncbi.nlm.nih.gov/compound/7991
Glycerol	#B1C420	#B1C420	74.372375	13.474088705358644	Sugar alcohol	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Sugar alcohols	triol	https://hmdb.ca/metabolites/HMDB0000131	https://pubchem.ncbi.nlm.nih.gov/compound/753
